Designator,Footprint,Quantity,Value,LCSC Part #
JKBD1,PinSocket_1x13_P2.54mm_Vertical,1,Conn_01x13,
K12,SW_Cherry_MX_1.00u_PCB,1,SPACE,
K13,SW_Cherry_MX_1.00u_PCB,1,ENTER,
K14,SW_Cherry_MX_1.00u_PCB,1,P,
K15,SW_Cherry_MX_1.00u_PCB,1,0,
K16,SW_Cherry_MX_1.00u_PCB,1,1,
K17,SW_Cherry_MX_1.00u_PCB,1,Q,
K18,SW_Cherry_MX_1.00u_PCB,1,A,
K19,SW_Cherry_MX_1.00u_PCB,1,CS,
K20,SW_Cherry_MX_1.00u_PCB,1,L,
K21,SW_Cherry_MX_1.00u_PCB,1,O,
K22,SW_Cherry_MX_1.00u_PCB,1,9,
K23,SW_Cherry_MX_1.00u_PCB,1,2,
K24,SW_Cherry_MX_1.00u_PCB,1,W,
K25,SW_Cherry_MX_1.00u_PCB,1,S,
K26,SW_Cherry_MX_1.00u_PCB,1,Z,
K27,SW_Cherry_MX_1.00u_PCB,1,SS,
K28,SW_Cherry_MX_1.00u_PCB,1,M,
K29,SW_Cherry_MX_1.00u_PCB,1,K,
K30,SW_Cherry_MX_1.00u_PCB,1,I,
K31,SW_Cherry_MX_1.00u_PCB,1,8,
K32,SW_Cherry_MX_1.00u_PCB,1,3,
K33,SW_Cherry_MX_1.00u_PCB,1,E,
K34,SW_Cherry_MX_1.00u_PCB,1,D,
K35,SW_Cherry_MX_1.00u_PCB,1,X,
K36,SW_Cherry_MX_1.00u_PCB,1,N,
K37,SW_Cherry_MX_1.00u_PCB,1,J,
K38,SW_Cherry_MX_1.00u_PCB,1,U,
K39,SW_Cherry_MX_1.00u_PCB,1,7,
K40,SW_Cherry_MX_1.00u_PCB,1,4,
K41,SW_Cherry_MX_1.00u_PCB,1,R,
K42,SW_Cherry_MX_1.00u_PCB,1,F,
K43,SW_Cherry_MX_1.00u_PCB,1,C,
K44,SW_Cherry_MX_1.00u_PCB,1,B,
K45,SW_Cherry_MX_1.00u_PCB,1,H,
K46,SW_Cherry_MX_1.00u_PCB,1,Y,
K47,SW_Cherry_MX_1.00u_PCB,1,6,
K48,SW_Cherry_MX_1.00u_PCB,1,5,
K49,SW_Cherry_MX_1.00u_PCB,1,T,
K50,SW_Cherry_MX_1.00u_PCB,1,G,
K51,SW_Cherry_MX_1.00u_PCB,1,V,
