Designator,Mid X,Mid Y,Rotation,Layer
JKBD1,121.92,-129.54,90.0,top
K12,282.575,-197.835,0.0,top
K13,282.575,-178.785,0.0,top
K14,282.575,-159.735,0.0,top
K15,282.575,-140.685,0.0,top
K16,111.125,-140.685,0.0,top
K17,111.125,-159.735,0.0,top
K18,111.125,-178.785,0.0,top
K19,111.125,-197.835,0.0,top
K20,263.525,-178.785,0.0,top
K21,263.525,-159.735,0.0,top
K22,263.525,-140.685,0.0,top
K23,130.175,-140.685,0.0,top
K24,130.175,-159.735,0.0,top
K25,130.175,-178.785,0.0,top
K26,130.175,-197.835,0.0,top
K27,263.525,-197.835,0.0,top
K28,244.475,-197.835,0.0,top
K29,244.475,-178.785,0.0,top
K30,244.475,-159.735,0.0,top
K31,244.475,-140.685,0.0,top
K32,149.225,-140.685,0.0,top
K33,149.225,-159.735,0.0,top
K34,149.225,-178.785,0.0,top
K35,149.225,-197.835,0.0,top
K36,225.425,-197.835,0.0,top
K37,225.425,-178.785,0.0,top
K38,225.425,-159.735,0.0,top
K39,225.425,-140.685,0.0,top
K40,168.275,-140.685,0.0,top
K41,168.275,-159.735,0.0,top
K42,168.275,-178.785,0.0,top
K43,168.275,-197.835,0.0,top
K44,206.375,-197.835,0.0,top
K45,206.375,-178.785,0.0,top
K46,206.375,-159.735,0.0,top
K47,206.375,-140.685,0.0,top
K48,187.325,-140.685,0.0,top
K49,187.325,-159.735,0.0,top
K50,187.325,-178.785,0.0,top
K51,187.325,-197.835,0.0,top
